picture,price,link,material,score,name,category,brand,keyword
http://nord.imgix.net/Zoom/17/_12465157.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,119.90,https://nordstrom.com/s/cole-haan-warren-wingtip-men/4322880?origin=keywordsearch-personalizedsort&fashioncolor=BLACK%20MILL%20LEATHER,,,'Warren' Wingtip (Men),Men,Nordstorm,Shoes
http://nord.imgix.net/Zoom/14/_100095574.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,195.00,https://nordstrom.com/s/salvatore-ferragamo-groove-slide-sandal-men/4365699?origin=keywordsearch-personalizedsort&fashioncolor=NERO,,,'Groove' Slide Sandal (Men),Men,Nordstorm,Shoes
http://nord.imgix.net/Zoom/17/_100157657.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,89.95,https://nordstrom.com/s/new-balance-247-modern-classics-sneaker-men/4452305?origin=keywordsearch-personalizedsort&fashioncolor=ORANGE,,,247 Modern Classics Sneaker (Men),Men,Nordstorm,Shoes
http://nord.imgix.net/Zoom/13/_11307453.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,149.95,https://nordstrom.com/s/ecco-soft-7-sneaker-men/4022930?origin=keywordsearch-personalizedsort&fashioncolor=DARK%20SHADOW,,,'Soft 7' Sneaker (Men),Men,Nordstorm,Shoes
http://nord.imgix.net/Zoom/15/_100153095.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,120.00,https://nordstrom.com/s/nike-air-huarache-run-ultra-sneaker-men/4175030?origin=keywordsearch-personalizedsort&fashioncolor=BINARY%20BLUE%2F%20BLACK%2F%20PLATINUM,,,'Air Huarache Run Ultra' Sneaker (Men),Men,Nordstorm,Shoes
http://nord.imgix.net/Zoom/6/_9524526.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,39.50,https://nordstrom.com/s/calvin-klein-3-pack-cotton-boxers/3731287?origin=keywordsearch-personalizedsort&fashioncolor=WHITE,100% cotton,6274.5,3-Pack Cotton Boxers,Men,Nordstorm,Underwear & Loungewear
http://nord.imgix.net/Zoom/10/_100489190.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,28.00,https://nordstrom.com/s/calvin-klein-u5555-micromodal-boxer-briefs/2969168?origin=keywordsearch-personalizedsort&fashioncolor=PRUSSIAN,92% modal  8% Lycra® spandex,6.12,U5555 Micromodal Boxer Briefs,Men,Nordstorm,Underwear & Loungewear
http://nord.imgix.net/Zoom/15/_10589795.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,39.50,https://nordstrom.com/s/polo-ralph-lauren-assorted-3-pack-boxer-briefs/3137306?origin=keywordsearch-personalizedsort&fashioncolor=BLACK%2F%20BLACK,100% cotton,6274.5,Assorted 3-Pack Boxer Briefs,Men,Nordstorm,Underwear & Loungewear
http://nord.imgix.net/Zoom/16/_12158176.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,34.00,https://nordstrom.com/s/tommy-john-second-skin-boxer-briefs/3310879?origin=keywordsearch-personalizedsort&fashioncolor=DRESS%20BLUES,90% modal  10% spandex.,6.12,'Second Skin' Boxer Briefs,Men,Nordstorm,Underwear & Loungewear
http://nord.imgix.net/Zoom/5/_100447225.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,39.50,https://nordstrom.com/s/calvin-klein-4-pack-cotton-briefs/3731261?origin=keywordsearch-personalizedsort&fashioncolor=BLUE%2F%20ROUGE%2F%20PARADISE%2F%20GREY,100% cotton,6274.5,4-Pack Cotton Briefs,Men,Nordstorm,Underwear & Loungewear
